Date,Open,High,Low,Close,Volume
2019-03-15,138.11,140.0,136.83,137.6,38567077
2019-03-08,138.85,139.65,136.42,138.06,34331093
2019-03-01,136.35,138.61,135.39,138.35,32106271
2019-02-22,136.14,136.73,134.2688,136.6,23915039
2019-02-15,132.31,136.41,131.26,136.38,29702610
2019-02-08,133.96,134.15,131.53,132.4,29797268
2019-02-01,127.81,135.19,127.29,134.2,47769617
2019-01-25,128.2,129.5,125.0,128.23,37339141
2019-01-18,128.74,131.18,127.46,130.69,37057944
2019-01-11,127.63,130.5,126.8,129.75,36684833
2019-01-04,128.18,129.55,125.36,127.83,32528212
2018-12-28,127.3,128.75,121.0,127.27,33241216
2018-12-21,128.32,132.8,126.76,128.09,119147843
2018-12-14,145.39,148.59,130.2,133.0,89723498
2018-12-07,145.57,148.99,142.79,145.43,39646718
2018-11-30,142.0,147.2,139.66,146.9,41382032
2018-11-23,146.43,148.75,140.78,142.23,31333285
2018-11-16,144.99,146.75,142.48,145.99,36031422
2018-11-09,141.0,145.79,139.0,145.34,29414239
2018-11-02,136.99,142.0,136.22,140.68,40984978
2018-10-26,138.61,140.11,135.05,136.97,42518348
2018-10-19,133.88,140.0,133.51,139.05,37761518
2018-10-12,138.9,140.46,132.23,133.87,35516284
2018-10-05,138.26,141.27,137.32,139.1,25772140
2018-09-28,142.1,142.5,137.41,138.17,34913231
2018-09-21,139.33,143.13,139.18,142.88,33229372
2018-09-14,137.53,140.48,137.06,139.49,30507457
2018-09-07,134.69,137.69,133.44,137.32,23519042
2018-08-31,135.5,136.05,133.89,134.69,25973724
2018-08-24,134.93,137.43,134.0,135.95,28323132
2018-08-17,130.72,135.0,128.93,134.47,28260845
2018-08-10,131.64,132.53,130.26,130.75,22608947
2018-08-03,131.78,133.0,130.9,131.95,37445114
2018-07-27,125.75,132.27,125.45,131.55,32705156
2018-07-20,126.0,130.54,124.16,125.85,39172612
2018-07-13,126.22,128.21,125.32,125.93,31060253
2018-07-06,121.34,125.92,120.11,125.75,24360726
2018-06-29,122.82,123.43,121.07,121.34,32358351
2018-06-22,121.61,123.38,120.25,122.84,36359463
2018-06-15,124.27,124.34,121.24,122.61,35048301
2018-06-08,121.85,124.85,120.9,124.06,30399836
2018-06-01,120.5,121.58,118.62,121.26,32324146
2018-05-25,124.62,124.99,121.13,121.47,29190552
2018-05-18,127.35,127.61,123.28,124.24,27702733
2018-05-11,124.14,127.6,121.69,127.24,30132957
2018-05-04,128.86,128.98,121.28,124.19,34143280
2018-04-27,126.88,129.22,125.28,128.27,32399319
2018-04-20,131.41,132.88,126.17,126.66,40475302
2018-04-13,128.65,131.42,127.68,130.62,26342845
2018-04-06,127.82,131.2,123.54,128.1,36689911
2018-03-29,126.41,129.1,125.21,128.15,28933843
2018-03-23,133.35,133.47,124.9,125.1,32632614
2018-03-16,133.8,135.7,131.9,133.68,39039965
2018-03-09,128.63,133.82,127.27,133.8,30930819
2018-03-02,131.71,133.41,126.52,128.82,37953894
2018-02-23,132.87,133.45,129.48,132.02,23476733
2018-02-16,130.0,134.45,127.68,133.15,35950168
2018-02-09,136.58,137.0,122.15,129.53,75550038
2018-02-02,144.85,144.94,137.0,137.68,47536666
2018-01-26,147.01,148.14,141.62,145.33,50298308
2018-01-19,146.42,148.32,145.48,147.36,32400339
2018-01-12,141.7,146.42,140.92,145.76,30765175
2018-01-05,139.66,141.82,138.72,141.71,22755730
2017-12-29,140.46,141.21,139.58,139.72,13571838
2017-12-22,142.43,143.8,140.04,140.12,28365208
2017-12-15,140.1,143.62,139.83,142.46,35438586
2017-12-08,140.62,141.96,138.93,140.59,26638925
2017-12-01,137.51,140.63,137.48,139.98,29703858
2017-11-24,138.15,139.26,136.6,138.01,16440756
2017-11-17,139.01,140.2843,137.89,138.0,20402576
2017-11-10,140.01,141.87,138.61,139.56,20473365
2017-11-03,141.08,141.21,138.98,140.08,21984333
2017-10-27,142.13,144.3523,140.2,141.78,28237921
2017-10-20,136.45,143.62,135.54,142.4,37715184
2017-10-13,133.66,137.52,132.92,136.43,25098424
2017-10-06,130.16,133.31,130.02,133.22,17551171
2017-09-29,131.47,131.94,129.05,130.01,24960943
2017-09-22,134.44,135.79,131.2701,131.39,27373375
2017-09-15,131.37,135.45,131.02,134.45,37222469
2017-09-08,130.72,132.52,129.72,130.98,19175419
2017-09-01,131.68,132.65,130.9,131.03,25125273
2017-08-25,132.28,134.79,131.62,131.68,22076536
2017-08-18,134.2,134.97,132.381,132.63,21348237
2017-08-11,133.09,134.49,131.4,133.1,23668848
2017-08-04,132.14,134.01,131.5,133.18,20701543
2017-07-28,134.99,135.16,129.5711,131.85,29989419
